,Partner,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
6728,1,1,1,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Electronic check,115.15,8349.7
4964,0,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),74.95,1834.95
4118,0,1,0,Fiber optic,No,Yes,No,No,No,No,Month-to-month,0,Credit card (automatic),74.8,2971.7
1095,0,1,0,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,80.55,80.55
3707,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),19.9,1356.7
3634,0,1,1,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),113.8,7845.8
4585,0,1,1,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,85.05,85.05
4747,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),20.6,754
5220,0,1,0,DSL,Yes,No,Yes,Yes,No,No,One year,0,Credit card (automatic),58.0,1734.5
6758,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Credit card (automatic),19.4,460.25
4235,1,1,1,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,0,Electronic check,95.65,5471.75
7018,1,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,70.65,70.65
451,0,1,0,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,1,Mailed check,69.75,1545.4
5153,1,1,0,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,94.55,3851.45
1842,0,1,0,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,75.95,3273.8
3530,0,1,1,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,1,Mailed check,69.0,1108
5390,0,1,1,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,99.45,1200.15
6990,1,1,0,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,93.6,3366.05
5713,0,1,1,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,0,Credit card (automatic),81.35,4060.9
6893,1,1,0,DSL,Yes,Yes,No,No,No,No,Month-to-month,0,Credit card (automatic),55.9,365.35
1366,1,1,1,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,85.6,813.85
4634,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),18.75,53.15
5165,0,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.65,69.65
6310,0,0,2,DSL,Yes,No,Yes,No,No,Yes,One year,1,Electronic check,44.45,2773.9
2271,0,1,0,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,91.55,3673.6
773,1,1,0,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,1,Mailed check,88.9,454.15
2637,1,0,2,DSL,Yes,No,Yes,Yes,No,No,Two year,0,Credit card (automatic),40.65,1547.35
3840,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),25.65,1740.8
522,1,1,1,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Bank transfer (automatic),85.5,4713.4
1637,0,0,2,DSL,No,No,No,Yes,No,No,One year,0,Credit card (automatic),29.45,1983.15
144,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),23.95,1756.2
503,1,1,0,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,1,Bank transfer (automatic),84.05,4326.8
4216,0,1,1,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),92.0,6632.75
5103,1,1,0,Fiber optic,Yes,No,No,No,No,Yes,One year,1,Bank transfer (automatic),82.85,2320.8
1737,1,1,0,DSL,No,No,No,No,No,No,Month-to-month,1,Mailed check,44.25,313.45
3660,0,0,2,DSL,No,No,Yes,Yes,No,No,One year,1,Credit card (automatic),35.5,249.55
3282,1,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,0,Bank transfer (automatic),102.5,6157.6
1336,1,1,0,Fiber optic,No,Yes,No,No,No,No,Month-to-month,0,Bank transfer (automatic),75.35,1114.55
4604,0,1,0,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),99.1,6496.15
313,1,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.35,341.6
217,1,0,2,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,1,Bank transfer (automatic),56.6,3789.2
630,1,1,1,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),110.75,4687.9
6404,0,1,1,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Electronic check,109.3,5731.4
3718,1,1,1,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,99.65,5497.05
5130,0,0,2,DSL,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,30.45,226.45
2389,1,1,1,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,0,Electronic check,85.45,6300.85
5168,0,1,0,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,80.8,713.1
2714,0,1,1,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,1,Bank transfer (automatic),95.1,5064.85
5669,1,1,0,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Bank transfer (automatic),100.55,4304
134,0,1,0,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,44.35,81.25
5898,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),24.15,800.3
983,0,1,1,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,86.6,86.6
6187,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.15,165.5
4868,1,1,1,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,99.5,3762
5610,0,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,75.5,220.6
4813,0,1,0,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,99.8,4391.25
6275,0,1,1,DSL,Yes,Yes,Yes,Yes,No,No,Two year,0,Bank transfer (automatic),69.4,4237.5
154,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.7,113.5
2157,1,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Bank transfer (automatic),106.8,5498.8
4548,0,1,0,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,1,Mailed check,84.3,1855.65
2833,0,1,0,DSL,Yes,Yes,Yes,No,No,No,Two year,1,Bank transfer (automatic),61.15,4017.45
2416,0,1,1,Fiber optic,No,No,Yes,No,Yes,Yes,One year,1,Bank transfer (automatic),100.5,2673.45
3228,1,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Electronic check,105.25,5576.3
5628,0,1,1,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,96.65,1244.5
3641,0,1,0,DSL,No,No,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),74.45,3721.9
3455,0,1,0,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,90.55,90.55
4779,1,1,0,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,96.8,1743.05
4686,0,1,1,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,1,Bank transfer (automatic),107.4,7748.75
4242,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.75,19.75
4028,0,1,0,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),109.2,7049.75
3928,1,1,0,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),95.95,1745.5
5155,0,1,0,Fiber optic,No,No,No,Yes,Yes,Yes,One year,1,Bank transfer (automatic),94.4,2638.1
1341,0,1,0,DSL,No,No,No,No,Yes,No,Month-to-month,1,Credit card (automatic),54.7,169.45
5099,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),20.1,221.35
6088,0,1,0,DSL,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,55.4,55.4
1348,1,1,0,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,79.95,857.2
38,0,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,106.35,3549.25
6988,1,1,1,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,1,Credit card (automatic),69.5,1652.1
1271,0,0,2,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,1,Electronic check,53.6,2879.2
2904,0,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Mailed check,70.95,1767.35
3712,0,1,0,DSL,Yes,No,No,Yes,Yes,No,One year,0,Electronic check,65.4,2774.55
2743,1,1,0,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,111.05,7321.05
2953,1,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),105.85,2239.65
296,1,1,0,Fiber optic,No,No,Yes,No,No,No,Two year,0,Electronic check,76.05,5436.45
5958,1,1,0,DSL,No,No,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),55.05,608.15
529,0,1,1,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,1,Bank transfer (automatic),99.9,5706.3
3559,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.85,470
3364,1,1,1,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,103.9,2254.2
3880,1,1,1,DSL,No,No,Yes,Yes,Yes,Yes,One year,1,Credit card (automatic),82.0,2083.1
5442,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),25.0,1498.35
2892,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.45,20.45
1990,0,1,1,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,84.75,1350.15
1330,1,1,0,DSL,Yes,No,No,Yes,No,No,One year,1,Credit card (automatic),56.25,1292.2
2412,1,0,2,DSL,No,Yes,No,Yes,No,No,One year,0,Mailed check,33.55,1445.3
2530,0,1,0,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,100.4,715
3454,1,0,2,DSL,No,Yes,Yes,No,No,No,Month-to-month,1,Mailed check,35.65,1025.15
5084,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),20.75,452.35
5297,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),20.35,1092.35
2828,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.45,20.45
4355,1,1,1,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,50.35,314.55
6824,0,1,1,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),80.45,5224.35
3439,1,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,1,Bank transfer (automatic),104.15,7689.95
866,1,0,2,DSL,No,No,No,Yes,Yes,No,Two year,1,Bank transfer (automatic),39.0,2337.45
1927,1,1,1,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),107.35,5118.95
6017,0,1,0,DSL,No,No,Yes,Yes,No,No,Month-to-month,0,Electronic check,56.15,291.45
5672,1,1,1,DSL,Yes,Yes,Yes,No,No,Yes,One year,0,Electronic check,71.8,3472.05
1583,1,1,1,DSL,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),48.95,273.25
2402,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.7,111.65
5738,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.6,20.6
3951,1,1,1,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,0,Mailed check,79.15,5536.5
2795,0,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.55,622.9
5960,0,1,1,Fiber optic,No,No,No,No,Yes,No,One year,0,Electronic check,84.45,4959.15
2607,0,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.75,69.75
4914,1,1,1,DSL,Yes,Yes,No,Yes,Yes,No,Two year,0,Mailed check,74.55,5430.65
42,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.75,418.25
2575,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),19.25,617.65
1458,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,20.55,20.55
6061,0,1,1,DSL,No,No,No,No,No,No,Month-to-month,1,Mailed check,49.5,1265.65
884,1,0,2,DSL,Yes,No,No,Yes,No,No,One year,1,Credit card (automatic),35.8,1782
1710,0,1,1,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,1,Electronic check,82.75,417.75
1560,0,0,2,DSL,Yes,No,No,Yes,Yes,No,One year,0,Bank transfer (automatic),45.05,1790.6
4927,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.05,637.55
5515,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.35,309.25
6165,0,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.65,293.85
496,1,1,0,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,0,Mailed check,60.9,1785.65
2431,0,0,2,DSL,No,No,No,No,No,No,Month-to-month,1,Mailed check,24.45,47.5
4965,0,0,2,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,47.95,305.1
6669,0,1,1,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,99.05,3554.6
5676,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,19.75,19.75
7024,1,1,1,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,1,Credit card (automatic),84.8,3626.35
3786,1,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),75.75,1929
4408,1,1,1,DSL,Yes,No,Yes,No,Yes,No,Two year,1,Bank transfer (automatic),71.45,5025.85
4624,0,1,0,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,94.7,740.3
4870,0,1,1,DSL,Yes,Yes,Yes,No,No,No,One year,1,Bank transfer (automatic),64.4,3035.35
6260,0,0,2,DSL,No,No,Yes,Yes,No,No,Two year,0,Mailed check,35.4,450.4
244,0,1,0,DSL,No,Yes,Yes,No,No,No,Month-to-month,1,Electronic check,54.8,731.3
4480,1,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,69.4,69.4
527,1,1,1,Fiber optic,No,Yes,No,Yes,Yes,No,One year,1,Credit card (automatic),94.7,5430.35
5081,1,1,0,DSL,Yes,Yes,No,Yes,Yes,No,Two year,1,Mailed check,69.7,3729.6
6466,0,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Mailed check,74.15,1387
1461,1,1,1,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,0,Credit card (automatic),95.9,2234.95
3635,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Electronic check,24.55,1750.7
1598,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),19.55,520.55
6563,1,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),74.9,1107.25
119,1,1,1,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,1,Credit card (automatic),85.2,2151.6
3079,0,1,0,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),68.65,261.25
2205,0,1,0,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Electronic check,99.85,3343.15
1265,0,1,0,Fiber optic,Yes,No,No,No,Yes,Yes,One year,0,Credit card (automatic),94.8,5264.3
5117,0,0,2,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),61.35,4193.4
549,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.75,311.6
6109,0,1,1,DSL,No,Yes,No,No,No,No,Month-to-month,0,Mailed check,54.15,101.65
5626,0,1,0,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,0,Bank transfer (automatic),64.05,733.95
2711,1,1,0,Fiber optic,No,No,No,No,Yes,Yes,One year,1,Bank transfer (automatic),90.1,2598.95
2265,0,1,1,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Mailed check,112.95,1384.75
3843,1,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Mailed check,70.85,70.85
6768,1,1,1,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),117.5,8670.1
2247,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.65,830.25
5423,0,1,0,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,80.85,1008.7
444,1,1,0,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Electronic check,80.4,2937.65
6174,0,0,2,DSL,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,29.65,118.5
6855,0,1,0,DSL,Yes,Yes,No,Yes,No,Yes,One year,1,Mailed check,67.7,2882.25
5209,1,1,1,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,1,Credit card (automatic),109.95,7852.4
202,1,1,1,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,0,Electronic check,105.55,7405.5
4719,0,1,1,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,84.9,3067.2
6297,1,1,1,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,0,Electronic check,113.35,7222.75
44,1,1,1,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,1,Electronic check,76.2,981.45
1675,0,1,0,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,78.9,2384.15
2240,1,1,1,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),89.55,6448.85
2470,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),25.25,1733.15
2239,1,0,2,DSL,Yes,No,No,Yes,No,No,Two year,0,Credit card (automatic),35.7,2545.7
2510,0,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,74.25,74.25
642,0,1,0,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,89.55,89.55
6344,1,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),74.95,2869.85
4283,1,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.2,280.35
3239,0,1,0,DSL,No,No,No,Yes,No,No,Month-to-month,1,Mailed check,49.45,799
6137,0,1,0,DSL,Yes,No,No,Yes,No,No,Month-to-month,0,Credit card (automatic),53.85,259.8
4104,1,1,0,DSL,No,Yes,No,No,No,No,Month-to-month,1,Bank transfer (automatic),49.55,393.45
4701,0,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,104.35,2271.85
2505,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),20.1,682.1
1545,0,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,1,Bank transfer (automatic),104.75,6536.5
4164,1,1,1,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),110.9,7922.75
5140,0,1,0,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,89.25,89.25
4708,1,1,0,DSL,Yes,Yes,Yes,No,No,No,Two year,1,Credit card (automatic),61.3,3346.8
4767,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),19.85,19.85
1531,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,25.75,882.55
3659,1,1,1,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,0,Credit card (automatic),109.9,7332.4
3942,0,1,0,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,42.9,42.9
770,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Credit card (automatic),20.45,237.3
5716,0,1,0,DSL,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,55.3,108.65
6435,1,0,2,DSL,No,Yes,Yes,Yes,Yes,No,Two year,0,Mailed check,50.2,2554
5592,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.75,265.75
3869,1,1,1,Fiber optic,No,Yes,No,No,Yes,Yes,One year,1,Electronic check,98.25,4858.7
1701,1,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Credit card (automatic),102.45,6615.15
3426,0,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.8,69.8
147,0,1,0,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,45.65,45.65
5386,0,1,0,DSL,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),45.8,436.2
4676,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,20.0,377.55
1462,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.0,666.75
4247,1,1,0,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,1,Credit card (automatic),106.35,7261.75
4662,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),20.15,432.5
6483,1,1,0,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,0,Electronic check,97.0,1334.45
