,Partner,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
383,0,1,1,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,1,Credit card (automatic),90.85,90.85
2798,0,1,0,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,94.9,1048.85
4933,0,0,2,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,1,Mailed check,57.2,223.75
3301,0,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.6,69.6
1363,1,1,1,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),92.0,6474.4
2810,1,1,1,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),103.9,6767.1
1505,0,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.7,74.7
1547,1,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Electronic check,107.5,6873.75
2350,0,1,1,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,84.0,424.75
2672,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),20.1,562.6
5251,0,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,69.05,318.5
5024,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,25.4,1797.1
2943,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,24.6,973.95
6105,0,1,1,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,1,Credit card (automatic),111.25,5916.45
1127,1,1,0,DSL,Yes,Yes,Yes,Yes,No,No,One year,1,Mailed check,66.25,1533.8
3939,0,1,0,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Electronic check,78.65,78.65
1297,0,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Electronic check,75.6,402.5
2320,1,1,1,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),89.4,5597.65
6308,0,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Electronic check,70.35,139.25
2616,1,1,0,DSL,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),44.6,260.8
5979,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),19.65,978
4005,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,24.05,24.05
4882,0,0,2,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),62.5,4136.4
1145,1,1,0,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),75.5,2324.7
6429,1,1,1,DSL,Yes,Yes,Yes,Yes,No,No,One year,1,Credit card (automatic),69.35,4653.25
3654,1,1,0,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,0,Credit card (automatic),89.9,2433.5
271,1,1,0,DSL,Yes,Yes,No,Yes,No,No,Two year,1,Electronic check,59.75,3450.15
815,0,1,1,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Mailed check,84.6,2088.05
4001,1,1,1,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),109.75,4900.65
2854,1,1,1,DSL,Yes,No,Yes,No,Yes,No,One year,1,Bank transfer (automatic),70.35,1201.65
2652,0,1,0,DSL,No,No,No,No,No,Yes,Month-to-month,0,Mailed check,55.55,55.55
6971,1,1,1,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,0,Bank transfer (automatic),99.75,1836.25
6584,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),20.55,1070.25
1685,1,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.55,1943.9
57,1,1,1,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Electronic check,108.45,7076.35
4667,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),19.25,375.25
2648,0,1,1,DSL,Yes,No,Yes,No,No,No,Month-to-month,1,Electronic check,59.6,2094.9
6102,1,1,1,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),85.0,5484.4
3494,1,1,1,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),85.35,754.65
6381,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.55,19.55
4559,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),20.15,130.5
2971,1,1,1,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),90.3,5194.05
3312,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.3,20.3
1941,0,1,0,DSL,No,No,No,No,No,Yes,Month-to-month,0,Mailed check,54.65,189.1
1424,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.95,936.7
1254,1,1,0,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,0,Credit card (automatic),88.8,4805.3
4344,0,1,1,DSL,No,Yes,Yes,No,Yes,Yes,Two year,1,Electronic check,80.65,5330.2
1939,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,21.05,21.05
261,0,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,106.9,1364.3
5845,0,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,75.8,246.3
6076,1,1,0,DSL,Yes,Yes,Yes,No,No,No,One year,0,Bank transfer (automatic),61.35,3874.1
1711,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),24.4,1725.4
4503,0,1,1,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,94.4,1617.5
1981,1,1,1,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Credit card (automatic),102.1,5885.4
440,1,1,1,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,112.95,1882.55
5852,1,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.1,1474.75
2109,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),26.1,980.35
6115,1,1,0,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),109.5,7854.9
620,1,0,2,DSL,No,No,No,No,No,Yes,Month-to-month,1,Bank transfer (automatic),34.55,362.6
1292,0,1,1,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),84.5,5193.2
6874,1,1,0,DSL,No,No,No,Yes,No,No,Month-to-month,1,Mailed check,49.2,1498.55
157,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.15,419.9
5778,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),20.3,20.3
1078,0,1,1,Fiber optic,No,Yes,No,No,No,No,Two year,1,Credit card (automatic),79.2,4590.35
3095,0,1,0,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,0,Electronic check,84.8,888.75
6226,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,25.75,1654.75
4017,0,1,1,DSL,Yes,No,Yes,No,No,No,One year,0,Mailed check,59.0,1654.45
5857,1,1,1,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,0,Electronic check,88.25,1460.65
3341,0,1,0,DSL,No,No,No,No,No,No,Month-to-month,0,Mailed check,43.8,2106.05
1169,0,0,2,DSL,No,Yes,Yes,No,Yes,No,One year,1,Credit card (automatic),44.05,3011.65
173,1,1,0,Fiber optic,No,No,Yes,No,Yes,Yes,One year,1,Bank transfer (automatic),94.85,5000.2
3171,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),20.85,435.25
2424,0,1,1,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,1,Bank transfer (automatic),112.95,6465
1759,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.4,415.4
4382,0,1,1,DSL,No,No,No,No,No,No,Month-to-month,0,Mailed check,48.75,179.85
3775,0,1,1,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,98.4,4187.75
1521,0,1,1,DSL,Yes,Yes,Yes,Yes,No,No,One year,0,Electronic check,67.45,2443.3
2387,0,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,0,Electronic check,105.3,550.6
211,0,0,2,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,25.25,25.25
629,1,1,1,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,0,Credit card (automatic),90.05,4547.25
410,0,1,1,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,81.35,233.7
3697,1,1,1,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,0,Electronic check,89.6,2901.8
2498,1,1,0,DSL,No,Yes,No,Yes,No,No,Month-to-month,1,Electronic check,53.8,1389.85
1487,0,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Electronic check,106.8,5914.4
885,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.05,20.05
3051,1,1,1,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),89.9,6342.7
6964,1,0,2,DSL,No,Yes,No,Yes,Yes,Yes,One year,1,Credit card (automatic),56.3,2780.6
5341,0,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,74.45,74.45
908,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.95,170.9
1088,1,1,1,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),100.45,1622.45
3485,0,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),73.25,131.05
1113,1,1,1,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Credit card (automatic),78.95,2839.65
1564,0,1,1,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.35,898.35
3499,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.9,20.9
3801,0,1,1,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,1,Electronic check,85.45,1505.85
2675,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.7,828.85
5920,0,1,0,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,78.8,2006.1
5519,1,1,0,DSL,Yes,No,Yes,No,No,No,Month-to-month,0,Mailed check,55.7,55.7
345,0,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,72.1,72.1
2823,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),20.45,790
5191,1,1,1,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),91.1,2198.3
5829,1,0,2,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,0,Electronic check,59.95,1848.8
5783,0,1,0,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,89.3,89.3
2273,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),19.8,576.65
3528,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.7,342.4
2147,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,19.0,348.8
4044,1,1,1,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),84.8,5917.55
5513,0,1,0,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,1,Bank transfer (automatic),92.45,6140.85
5378,1,1,1,DSL,Yes,No,Yes,Yes,Yes,No,Two year,0,Mailed check,75.8,4415.75
794,0,0,2,DSL,No,No,No,No,Yes,Yes,Month-to-month,0,Credit card (automatic),45.0,298.7
5594,1,1,1,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,83.75,1849.95
5095,0,1,0,DSL,No,No,No,No,No,No,One year,0,Bank transfer (automatic),45.05,2462.6
4518,0,1,1,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,81.25,585.95
3044,0,1,0,DSL,No,No,No,No,No,No,Month-to-month,1,Mailed check,45.4,45.4
45,0,1,1,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,84.5,3906.7
6703,0,0,2,DSL,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,45.25,85.5
87,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.65,1057
